"","region","site","date","start_time","end_time","capture_time","capture_loc","swab_id","detection_type","correct_capture_time"
"1","Fortuna","Alleman","12/14/2018",10:46:00,"11:58:00",01:10:00,"70",NA,"visual",""
"2","Santa Fe","Altos de Piedra","11/12/2012",19:33:00,"20:15:00",09:30:00,"0",NA,"visual",""
"3","Santa Fe","Altos de Piedra","7/7/2013",11:31:00,"13:02:00",11:20:00,"5","130707_R01","capture",""
"4","Santa Fe","Altos de Piedra","7/7/2013",19:47:00,"21:11:00",19:25:00,"30","130707_R03","capture",""
"5","Santa Fe","Altos de Piedra","7/7/2013",19:47:00,"21:11:00",19:25:00,"30","130707_R04","capture",""
"6","Santa Fe","Altos de Piedra","7/7/2014",11:30:00,"14:25:00",10:40:00,"0","140707_R02","capture",""
"7","Santa Fe","Altos de Piedra","7/8/2014",19:15:00,"22:35:00",19:00:00,"205","140708_R10","capture",""
"8","Altos de Campana","Campana loop","12/3/2015",11:30:00,"13:30:00",01:00:00,"280","151203_04","capture",""
"9","Altos de Campana","Campana loop","12/3/2015",11:30:00,"13:30:00",01:25:00,"390","151203_05","capture",""
"10","Santa Fe","Cerro Negro","7/12/2014",11:14:00,"16:30:00",10:05:00,"0","140712_A02","capture",""
"11","Santa Fe","Cerro Negro","7/12/2014",11:14:00,"16:30:00",10:21:00,"8","140712_A03","capture",""
"12","El Cope","Guabal","12/16/2015",13:20:00,"16:40:00",02:16:00,"24","151216_A07","capture",""
"13","El Cope","Guabal","12/16/2015",13:20:00,"16:40:00",03:00:00,"89","151216_A08","capture",""
"14","El Cope","Guabal","12/16/2015",13:20:00,"16:40:00",03:02:00,"91","151216_A09","capture",""
"15","El Cope","Guabal","12/16/2015",13:20:00,"16:40:00",03:05:00,"90","151216_A10","capture",""
"16","El Cope","Guabal","12/16/2015",13:20:00,"16:40:00",03:06:00,"90","151216_A11","capture",""
"17","El Cope","Guabal","12/16/2015",13:20:00,"16:40:00",03:20:00,"100","151216_A12","capture",""
"18","El Cope","Guabal","12/16/2015",13:20:00,"16:40:00",03:50:00,"150","151216_A13","capture",""
"19","El Cope","Guabal","12/16/2015",13:20:00,"16:40:00",03:53:00,"150","151216_A14","capture",""
"20","El Cope","Guabal","12/16/2015",13:20:00,"16:40:00",03:55:00,"150","151216_A15","capture",""
"21","El Cope","Guabal","12/16/2015",13:20:00,"16:40:00",04:40:00,"210","151216_A16","capture",""
